Graph Name,PR on Original Graph,Incremental PR – SpMSpV,Incremental PR – Normal
DIP_unweighted_graph.mtx, 1808.46msec, 1307.61msec, 1347.23msec
cage12.mtx, 150.876msec, 145.587msec, 146.057msec
filter3D.mtx, 184.249msec, 204.909msec, 204.992msec
facebook_combined.mtx, 59.8071msec, 56.2791msec, 56.9429msec
offshore.mtx, 324.763msec, 354.812msec, 350.352msec
webbase-1M.mtx, 1163.39msec, 1667.5msec, 1651.43msec
filter3D.mtx, 183.432msec, 204.966msec, 205.353msec
email-Enron.mtx, 89.1321msec, 64.6272msec, 65.1702msec
2cubes_sphere.mtx, 108.884msec, 123.387msec, 122.791msec
qcd5_4.mtx, 3.375msec, 68.96msec, 68.072msec
pwtk.mtx, 495.778msec, 441.09msec, 431.517msec
shipsec1.mtx, 386.233msec, 377.896msec, 384.608msec
WIPHI_graph.mtx, 722.565msec, 614.856msec, 632.369msec
poisson3Da.mtx, 28.519msec, 27.481msec, 27.4761msec
rma10.mtx, 168.318msec, 172.569msec, 172.852msec
consph.mtx, 302.043msec, 446.065msec, 445.266msec
cit-HepPh.mtx, 9553.25msec, 8354.14msec, 8498.76msec
mc2depi.mtx, 242.706msec, 338.931msec, 348.069msec
cant.mtx, 194.413msec, 305.357msec, 305.677msec
pdb1HYS.mtx, 264.201msec, 165.609msec, 166.003msec
majorbasis.mtx, 111.159msec, 139.797msec, 138.198msec
mario002.mtx, 225.351msec, 335.613msec, 338.382msec
loc-gowalla_edges.mtx, 475.456msec, 307.598msec, 308.416msec
mono_500Hz.mtx, 524.044msec, 450.514msec, 447.415msec
mac_econ_fwd500.mtx, 241.619msec, 201.318msec, 197.895msec
m133-b3.mtx, 4.2522msec, 44.823msec, 46.302msec
hood.mtx, 507.584msec, 453.478msec, 448.35msec
scircuit.mtx, 193.198msec, 174.076msec, 178.226msec
